,Neu,NK,Bcell,CD4T,CD8T,Mono
MIX_1,0.23509373531854488,0.17472734504600182,0.17940960382141563,0.03988574175690245,0.15532982125387712,0.21555375280325825
MIX_2,0.7469439108353382,0.0,0.02132789616927882,0.16283772220524362,0.018478392978859854,0.05041207781127964
MIX_3,0.7507777174313046,0.0,0.006834840950656876,0.08757139268183702,0.04853354609543632,0.10628250284076514
MIX_4,0.6609115350378373,0.004994219511582959,0.0,0.15233641180410248,0.11393344849426856,0.0678243851522086
MIX_5,0.11566262491591944,0.18247462519641378,0.05194237814589422,0.147552908129595,0.24833668201006728,0.25403078160211023
MIX_6,0.7252070947982295,0.009645407454579064,0.0,0.14502012763212757,0.05439938424517966,0.06572798586988424
MIX_7,0.2589692857849992,0.1297955934760545,0.0640454143917606,0.025139871945672916,0.30161685794443943,0.22043297645707333
MIX_8,0.6856391264633206,0.06922003063952498,0.0468050715505047,0.11984199308680664,0.038196351331462985,0.04029742692838029
MIX_9,0.7718158441280017,0.02947384507318488,0.0,0.1302106572483563,0.02081037337025091,0.047689280180206226
MIX_10,0.1871560382961071,0.2527082674988957,0.19442992834979694,0.08552959522853476,0.17685151646779412,0.10332465415887139
MIX_11,0.04694470378073856,0.1686717148967874,0.25119218340795807,0.1865454930601491,0.09582586868989922,0.2508200361644677
MIX_12,0.2770813796467477,0.12384420626812939,0.1486000103934514,0.11135961678655745,0.09656752461241894,0.24254726229269524
