,Neu,NK,Bcell,CD4T,CD8T,Mono
MIX_1,0.19620073212742628,0.19265850522201058,0.13469343234937767,0.11943163607977195,0.15229733076146598,0.20471836345994765
MIX_2,0.5887064481402096,0.03855459419689423,0.0395031981427902,0.2118871543433522,0.037579908046417844,0.08376869713033609
MIX_3,0.6435640188605141,0.0292630531253636,0.022554731670086196,0.13034791841061916,0.04457956675334424,0.1296907111800727
MIX_4,0.5398350377727571,0.041501379498646816,0.017329610897703362,0.2063192302914395,0.09721623165616824,0.09779850988328495
MIX_5,0.10615730366330793,0.1884346233727629,0.058505933133025434,0.20211161938373623,0.23746595905545329,0.2073245613917142
MIX_6,0.5691096807021917,0.04786125796604445,0.02306431775845158,0.19199218728760972,0.07260983284387787,0.09536272344182464
MIX_7,0.2061905387099598,0.1553251699220923,0.06464681612173276,0.09199447610219703,0.28297106022045676,0.1988719389235614
MIX_8,0.5586396873714966,0.09712993086901858,0.051847676616567424,0.169367672310671,0.03582382159864084,0.08719121123360558
MIX_9,0.6556999541837523,0.05271415490361452,0.015406683675535547,0.17214301595453294,0.01926271898087601,0.08477347230168863
MIX_10,0.15650641527724235,0.2505094451606996,0.14314503122411532,0.15299305598198332,0.17571010674875814,0.12113594560720133
MIX_11,0.07259863219138889,0.1833034363726535,0.17768402734020491,0.2525107817154436,0.10386166418941856,0.21004145819089062
MIX_12,0.22741274471966064,0.15485292780461943,0.11810126525066729,0.1836601952680943,0.09154968004998966,0.22442318690696866
