,Neu,NK,Bcell,CD4T,CD8T,Mono
MIX_1,0.23577583347666636,0.17552806033081292,0.17997578222161026,0.03953722908033535,0.15287885319236877,0.21630424169820636
MIX_2,0.7807932799096656,0.0,0.017817755308610905,0.15070653037335113,0.0,0.050682434408372376
MIX_3,0.7456666207478382,0.0,0.007338940234877866,0.08778576462520797,0.05358931444135547,0.10561935995072042
MIX_4,0.6523082025081448,0.004520552072789082,0.0,0.15184649965026736,0.1237748867005869,0.06754985906821188
MIX_5,0.11579740968289803,0.18309501261019587,0.05193724509593547,0.147537762475248,0.24687574258891137,0.2547568275468112
MIX_6,0.7545521920741661,0.011306773211771147,0.0,0.14537542424753214,0.02241799016961628,0.06634762029691443
MIX_7,0.2556301370186461,0.12612574515793762,0.06417195114407165,0.027592190966543646,0.3104895671614247,0.21599040855137622
MIX_8,0.6810326186868624,0.06836237805474993,0.04700502584555563,0.11970474114308705,0.04366164224438394,0.04023359402536103
MIX_9,0.7647469883983358,0.028858299465739343,0.0,0.13007646570828818,0.028603103922987462,0.047715142504649186
MIX_10,0.18659539274719422,0.25005678851419344,0.19338613244582234,0.08585034222098781,0.18142036939008468,0.10269097468171733
MIX_11,0.04785379509748839,0.1661304254888795,0.2489381072191584,0.1856438566638528,0.10345455320021381,0.24797926233040707
MIX_12,0.2745611039281775,0.1214049010726814,0.14737101573102704,0.11149904334945966,0.10601585146985638,0.23914808444879815
