"","Predicted value","True value","Celltype","Normalization method","Deconvolution method"
"1","0.234075164778112","0.21","Neu","none","emeth_normal"
"2","0.185244373342707","0.15","NK","none","emeth_normal"
"3","0.184866747581227","0.19","Bcell","none","emeth_normal"
"4","0.067049275516127","0.07","CD4T","none","emeth_normal"
"5","0.121721350929409","0.19","CD8T","none","emeth_normal"
"6","0.207043087852417","0.19","Mono","none","emeth_normal"
"7","0.715701192243611","0.7","Neu","none","emeth_normal"
"8","0.025236577169251","0.02","NK","none","emeth_normal"
"9","0.045399401744693","0.04","Bcell","none","emeth_normal"
"10","0.158694559586285","0.15","CD4T","none","emeth_normal"
"11","0","0.04","CD8T","none","emeth_normal"
"12","0.0549682692561595","0.05","Mono","none","emeth_normal"
"13","0.757068856854944","0.73","Neu","none","emeth_normal"
"14","1.09270479724125e-20","0","NK","none","emeth_normal"
"15","0.00571450576970855","0.02","Bcell","none","emeth_normal"
"16","0.0863509845761394","0.09","CD4T","none","emeth_normal"
"17","0.0442079099580136","0.06","CD8T","none","emeth_normal"
"18","0.106657742841194","0.1","Mono","none","emeth_normal"
"19","0.652934729511589","0.63","Neu","none","emeth_normal"
"20","0.0098753071140382","0.02","NK","none","emeth_normal"
"21","1.33474604255922e-20","0.01","Bcell","none","emeth_normal"
"22","0.155334630994506","0.16","CD4T","none","emeth_normal"
"23","0.112889530463613","0.11","CD8T","none","emeth_normal"
"24","0.0689658019162535","0.07","Mono","none","emeth_normal"
"25","0.124533042272139","0.11","Neu","none","emeth_normal"
"26","0.191860472799835","0.15","NK","none","emeth_normal"
"27","0.0652028102407621","0.07","Bcell","none","emeth_normal"
"28","0.160857200509465","0.16","CD4T","none","emeth_normal"
"29","0.214737132423026","0.29","CD8T","none","emeth_normal"
"30","0.242809341754773","0.22","Mono","none","emeth_normal"
"31","0.70227166493869","0.67","Neu","none","emeth_normal"
"32","0.0461524342219979","0.03","NK","none","emeth_normal"
"33","0.016078189286127","0.02","Bcell","none","emeth_normal"
"34","0.165373072880847","0.14","CD4T","none","emeth_normal"
"35","-1.03317328398168e-18","0.08","CD8T","none","emeth_normal"
"36","0.0701246386723379","0.06","Mono","none","emeth_normal"
"37","0.255796315566393","0.23","Neu","none","emeth_normal"
"38","0.136553289674959","0.11","NK","none","emeth_normal"
"39","0.0741545376442529","0.08","Bcell","none","emeth_normal"
"40","0.0432029545960996","0.06","CD4T","none","emeth_normal"
"41","0.280003560010029","0.33","CD8T","none","emeth_normal"
"42","0.210289342508267","0.19","Mono","none","emeth_normal"
"43","0.670299382109873","0.66","Neu","none","emeth_normal"
"44","0.0784201792824541","0.07","NK","none","emeth_normal"
"45","0.0543462593488532","0.06","Bcell","none","emeth_normal"
"46","0.127279128452622","0.12","CD4T","none","emeth_normal"
"47","0.0281264582963093","0.05","CD8T","none","emeth_normal"
"48","0.0415285925098889","0.04","Mono","none","emeth_normal"
"49","0.76824235422505","0.75","Neu","none","emeth_normal"
"50","0.0327188066873902","0.04","NK","none","emeth_normal"
"51","-8.12823365046133e-19","0.01","Bcell","none","emeth_normal"
"52","0.131945761055589","0.13","CD4T","none","emeth_normal"
"53","0.0178173855236284","0.02","CD8T","none","emeth_normal"
"54","0.0492756925083427","0.05","Mono","none","emeth_normal"
"55","0.190365102686109","0.17","Neu","none","emeth_normal"
"56","0.254536874216905","0.22","NK","none","emeth_normal"
"57","0.196844694046755","0.2","Bcell","none","emeth_normal"
"58","0.105277286168086","0.11","CD4T","none","emeth_normal"
"59","0.149944993956665","0.2","CD8T","none","emeth_normal"
"60","0.103031048925481","0.1","Mono","none","emeth_normal"
"61","0.0635606688504129","0.06","Neu","none","emeth_normal"
"62","0.177832502932423","0.15","NK","none","emeth_normal"
"63","0.246624513969828","0.26","Bcell","none","emeth_normal"
"64","0.196073283635537","0.18","CD4T","none","emeth_normal"
"65","0.0794946941283196","0.13","CD8T","none","emeth_normal"
"66","0.23641433648348","0.22","Mono","none","emeth_normal"
"67","0.272744631186414","0.25","Neu","none","emeth_normal"
"68","0.134076823462858","0.12","NK","none","emeth_normal"
"69","0.154428911854687","0.16","Bcell","none","emeth_normal"
"70","0.126373587767597","0.13","CD4T","none","emeth_normal"
"71","0.0827201474978294","0.11","CD8T","none","emeth_normal"
"72","0.229655898230615","0.23","Mono","none","emeth_normal"
"73","0.231061574172765","0.21","Neu","none","emeth_laplace"
"74","0.17338102681753","0.15","NK","none","emeth_laplace"
"75","0.174452791193972","0.19","Bcell","none","emeth_laplace"
"76","0.0446788094389777","0.07","CD4T","none","emeth_laplace"
"77","0.161899020791186","0.19","CD8T","none","emeth_laplace"
"78","0.214526777585569","0.19","Mono","none","emeth_laplace"
"79","0.731162399355963","0.7","Neu","none","emeth_laplace"
"80","0","0.02","NK","none","emeth_laplace"
"81","0.0190987983593732","0.04","Bcell","none","emeth_laplace"
"82","0.161523129738853","0.15","CD4T","none","emeth_laplace"
"83","0.0403452173766473","0.04","CD8T","none","emeth_laplace"
"84","0.0478704551691636","0.05","Mono","none","emeth_laplace"
"85","0.750666268123672","0.73","Neu","none","emeth_laplace"
"86","0","0","NK","none","emeth_laplace"
"87","0.00701184308510634","0.02","Bcell","none","emeth_laplace"
"88","0.0810953328134047","0.09","CD4T","none","emeth_laplace"
"89","0.0526077506909008","0.06","CD8T","none","emeth_laplace"
"90","0.108618805286917","0.1","Mono","none","emeth_laplace"
"91","0.647725223173061","0.63","Neu","none","emeth_laplace"
"92","0.0150560764927446","0.02","NK","none","emeth_laplace"
"93","0.000688941627928513","0.01","Bcell","none","emeth_laplace"
"94","0.163852081643422","0.16","CD4T","none","emeth_laplace"
"95","0.10593860219474","0.11","CD8T","none","emeth_laplace"
"96","0.066739074868103","0.07","Mono","none","emeth_laplace"
"97","0.116066823859828","0.11","Neu","none","emeth_laplace"
"98","0.173923436660496","0.15","NK","none","emeth_laplace"
"99","0.0532201780089514","0.07","Bcell","none","emeth_laplace"
"100","0.152088139800236","0.16","CD4T","none","emeth_laplace"
"101","0.257657752001109","0.29","CD8T","none","emeth_laplace"
"102","0.24704366966938","0.22","Mono","none","emeth_laplace"
"103","0.711964989034319","0.67","Neu","none","emeth_laplace"
"104","0.0197183561891737","0.03","NK","none","emeth_laplace"
"105","0","0.02","Bcell","none","emeth_laplace"
"106","0.14413835266643","0.14","CD4T","none","emeth_laplace"
"107","0.0638245334467413","0.08","CD8T","none","emeth_laplace"
"108","0.0603537686633361","0.06","Mono","none","emeth_laplace"
"109","0.249129087270915","0.23","Neu","none","emeth_laplace"
"110","0.126015641875585","0.11","NK","none","emeth_laplace"
"111","0.0719788491735851","0.08","Bcell","none","emeth_laplace"
"112","0.0209470818154314","0.06","CD4T","none","emeth_laplace"
"113","0.317302543317574","0.33","CD8T","none","emeth_laplace"
"114","0.21462679654691","0.19","Mono","none","emeth_laplace"
"115","0.665408120395983","0.66","Neu","none","emeth_laplace"
"116","0.0724826000678827","0.07","NK","none","emeth_laplace"
"117","0.0518147432621858","0.06","Bcell","none","emeth_laplace"
"118","0.128756740358397","0.12","CD4T","none","emeth_laplace"
"119","0.035639224061359","0.05","CD8T","none","emeth_laplace"
"120","0.0458985718541924","0.04","Mono","none","emeth_laplace"
"121","0.765205592688437","0.75","Neu","none","emeth_laplace"
"122","0.0350478759761482","0.04","NK","none","emeth_laplace"
"123","0","0.01","Bcell","none","emeth_laplace"
"124","0.13633006573783","0.13","CD4T","none","emeth_laplace"
"125","0.0137537296962127","0.02","CD8T","none","emeth_laplace"
"126","0.0496627359013723","0.05","Mono","none","emeth_laplace"
"127","0.185795346327156","0.17","Neu","none","emeth_laplace"
"128","0.238072759869771","0.22","NK","none","emeth_laplace"
"129","0.192288826969091","0.2","Bcell","none","emeth_laplace"
"130","0.0993701968396233","0.11","CD4T","none","emeth_laplace"
"131","0.1766863737261","0.2","CD8T","none","emeth_laplace"
"132","0.107786496268258","0.1","Mono","none","emeth_laplace"
"133","0.0581092682635571","0.06","Neu","none","emeth_laplace"
"134","0.163077586536482","0.15","NK","none","emeth_laplace"
"135","0.245954288323238","0.26","Bcell","none","emeth_laplace"
"136","0.180301169818213","0.18","CD4T","none","emeth_laplace"
"137","0.113355530193156","0.13","CD8T","none","emeth_laplace"
"138","0.239202156865354","0.22","Mono","none","emeth_laplace"
"139","0.273107691838083","0.25","Neu","none","emeth_laplace"
"140","0.124006045524442","0.12","NK","none","emeth_laplace"
"141","0.146691987951395","0.16","Bcell","none","emeth_laplace"
"142","0.123448870510366","0.13","CD4T","none","emeth_laplace"
"143","0.107166888629982","0.11","CD8T","none","emeth_laplace"
"144","0.225578515545732","0.23","Mono","none","emeth_laplace"
"145","0.236796809441957","0.21","Neu","none","emeth_binom"
"146","0.188910015453315","0.15","NK","none","emeth_binom"
"147","0.187136956657403","0.19","Bcell","none","emeth_binom"
"148","0.0642188257717333","0.07","CD4T","none","emeth_binom"
"149","0.120452934640147","0.19","CD8T","none","emeth_binom"
"150","0.202484458035445","0.19","Mono","none","emeth_binom"
"151","0.718297303271979","0.7","Neu","none","emeth_binom"
"152","0.02546432951972","0.02","NK","none","emeth_binom"
"153","0.046263503480202","0.04","Bcell","none","emeth_binom"
"154","0.163763888201584","0.15","CD4T","none","emeth_binom"
"155","0","0.04","CD8T","none","emeth_binom"
"156","0.0462109755265152","0.05","Mono","none","emeth_binom"
"157","0.753276711929601","0.73","Neu","none","emeth_binom"
"158","-1.07128803030986e-19","0","NK","none","emeth_binom"
"159","0.00623710785865478","0.02","Bcell","none","emeth_binom"
"160","0.0887362612333701","0.09","CD4T","none","emeth_binom"
"161","0.0459867727945104","0.06","CD8T","none","emeth_binom"
"162","0.105763146183864","0.1","Mono","none","emeth_binom"
"163","0.651047562152983","0.63","Neu","none","emeth_binom"
"164","0.0101280478145849","0.02","NK","none","emeth_binom"
"165","-1.09669054486406e-19","0.01","Bcell","none","emeth_binom"
"166","0.15780184946172","0.16","CD4T","none","emeth_binom"
"167","0.11516686427094","0.11","CD8T","none","emeth_binom"
"168","0.0658556762997725","0.07","Mono","none","emeth_binom"
"169","0.124857795857782","0.11","Neu","none","emeth_binom"
"170","0.193829286936476","0.15","NK","none","emeth_binom"
"171","0.0656125265910623","0.07","Bcell","none","emeth_binom"
"172","0.161076340446867","0.16","CD4T","none","emeth_binom"
"173","0.212869419897678","0.29","CD8T","none","emeth_binom"
"174","0.241754630270136","0.22","Mono","none","emeth_binom"
"175","0.70393461046309","0.67","Neu","none","emeth_binom"
"176","0.0473985744616629","0.03","NK","none","emeth_binom"
"177","0.0164241426846993","0.02","Bcell","none","emeth_binom"
"178","0.170106344929276","0.14","CD4T","none","emeth_binom"
"179","0","0.08","CD8T","none","emeth_binom"
