"","Neu","NK","Bcell","CD4T","CD8T","Mono"
"cg13699412",0.109492758888649,0.857820117490677,0.877119418407095,0.880907457120147,0.882864433170129,0.848977127841645
"cg14054880",0.152118665185778,0.875303346979872,0.875694871921577,0.873592400914893,0.899416491977417,0.882001594696693
"cg01899759",0.129622790426279,0.878398085284329,0.883853561906191,0.88718671535007,0.897002771654261,0.840855966924008
"cg27557168",0.128104972345574,0.885354853264811,0.905122102409639,0.892519068083652,0.893873943424643,0.851935737268636
"cg16649792",0.10931883150571,0.858033944971,0.865122617864982,0.873434989691158,0.887733972628923,0.779282709368887
"cg25576801",0.147290410625179,0.806509940054233,0.85178907147369,0.837727014232207,0.825530159839518,0.841470303578477
"cg04206190",0.19424870817313,0.868211167368039,0.875224457242808,0.868946121212469,0.868728350351881,0.826233613272844
"cg02735685",0.197328168118902,0.857433228282843,0.857001618604672,0.858376805940871,0.862556235312139,0.811243862848329
"cg19260752",0.251430470146554,0.862857876054232,0.878316776141354,0.884383661957545,0.885932393091559,0.880124995577757
"cg11386978",0.228270205138895,0.872098461324034,0.900084226024681,0.865335901693131,0.859257846353649,0.877444527861712
"cg01530292",0.13930301357284,0.819345811843844,0.839379047628636,0.85911355781886,0.861442519215972,0.730522373214715
"cg03865101",0.0862511414287442,0.706433781895805,0.812021305477747,0.858978316743921,0.855175976589305,0.808402989624657
"cg04449166",0.81001755743115,0.138484129332332,0.0569168312069351,0.181231311215212,0.160192206489594,0.151077161176469
"cg20246452",0.117500635168674,0.876758035984995,0.899685680005554,0.899957172597967,0.894465534342091,0.740260022600291
"cg04100356",0.0925781545699394,0.769042723379168,0.854667342066989,0.789168141762261,0.863393816436728,0.695368043821674
"cg25074794",0.196178628769215,0.915505229748564,0.939133924622051,0.928809895047829,0.931906162623051,0.82702188465074
"cg27305893",0.175801640233458,0.84565264690262,0.869353482321694,0.864675704514539,0.855720951712673,0.768487201513982
"cg26390455",0.15333359253543,0.763258665775679,0.875691064359009,0.874686690166368,0.86958350108969,0.739938500510696
"cg09694051",0.195592888925016,0.867111424501134,0.822989225653549,0.862308576012758,0.868524115747608,0.780090238562468
"cg20203469",0.318452724382832,0.874425962537707,0.889994420317566,0.884043212474918,0.885224949644245,0.869743039656199
"cg11091478",0.20549257538119,0.873408633501431,0.887881776307502,0.895042558362256,0.901893513019672,0.76989933954715
"cg01044849",0.286728897612533,0.863232527490246,0.87661660942743,0.88617356708534,0.881457431403839,0.851689362000824
"cg24392753",0.192953667289401,0.886182537747656,0.90172566756209,0.892241128068771,0.898572620238426,0.790458703596145
"cg14863672",0.149429535677952,0.735250351201955,0.861582070361993,0.837769352767803,0.828170348351238,0.783421361146689
"cg14836884",0.284551480514216,0.839240742966005,0.853705354713191,0.865067581354041,0.868195014608623,0.830558066884001
"cg17540105",0.241655062505396,0.811551026488742,0.838851854143895,0.8334289470991,0.833871818144143,0.781029936269993
"cg19423170",0.237040746762575,0.897709869084207,0.90021901146643,0.90626682413012,0.897996024359794,0.838579295354878
"cg16275316",0.121467145541422,0.83036570472296,0.840429791888767,0.831375674904284,0.844061344499238,0.659117376512845
"cg18279004",0.187393101427863,0.813824667281072,0.818966137222611,0.831784605305703,0.824710083512545,0.74820757362439
"cg19983500",0.268830667176669,0.815785286359155,0.897473583508384,0.902430005882499,0.897928657575944,0.833323404386225
"cg13571698",0.256536987645704,0.841613873497229,0.805953925589155,0.82127244611317,0.82482290113895,0.827929925862655
"cg06230847",0.402775457531745,0.916042280408977,0.92562009415491,0.925126212355533,0.924398650902804,0.929062600861924
"cg22528063",0.210019516307874,0.846827579082,0.858180716063585,0.873063514185075,0.856003643365191,0.754410049569385
"cg10650269",0.151250165677665,0.761923696664923,0.770835661868526,0.764872699949752,0.746590953349764,0.664706222005757
"cg09529591",0.282188338345901,0.804863764584643,0.82019108501709,0.801094868454978,0.816962488338003,0.802637946459292
"cg04036920",0.301509135534866,0.881082996520202,0.894053326621899,0.890727739340077,0.897720161095165,0.815515435708214
"cg11155735",0.36499687022049,0.864206298937166,0.901608359210913,0.895508365917913,0.891905646210372,0.885370647230457
"cg05568737",0.124261351329916,0.861411854526313,0.886746157397293,0.880622982780759,0.855962977249925,0.63325588277265
"cg13785123",0.273694039529903,0.966083830733402,0.970757458439538,0.972951078120316,0.966474056692542,0.791025787783287
"cg16509045",0.114824840442959,0.685128044322314,0.727279519042894,0.622347654151656,0.71538621401563,0.603808570203214
"cg15595478",0.146985609449919,0.681046723074566,0.718866845720037,0.730443529892675,0.709517264687358,0.669830651382745
"cg26065310",0.231201200638965,0.881254378340668,0.89013278401238,0.89740845055342,0.89587546035517,0.727070144740341
"cg04855678",0.0780856777288268,0.828698883432099,0.918350002142449,0.935944422497742,0.937478332483857,0.591750288639565
"cg13996193",0.17436635960917,0.89472464337905,0.883913378628623,0.896150446454439,0.891349783398503,0.717147317721241
"cg07319315",0.286070080084678,0.875790863844514,0.789032186449333,0.827533744260116,0.865604878817782,0.870815828208331
"cg23588378",0.126760352273178,0.867791413762581,0.649666975968006,0.875312129814314,0.869227893392761,0.627730538631413
"cg15891546",0.0945452320875328,0.650521576193045,0.753664740304006,0.855292870475695,0.851053302771374,0.575808401006465
"cg26306976",0.32792152857201,0.833527265576213,0.826111055636719,0.871367641286546,0.826943962235196,0.867530026917701
"cg12688686",0.149261538170431,0.745760928075746,0.814498786579183,0.680647101737246,0.697959817655435,0.631657881658808
"cg27420834",0.43704206485805,0.905034124284335,0.906332428819796,0.903399366115317,0.905532149298082,0.90780950034934
"cg26262442",0.432137955783775,0.934902974460534,0.940277091678051,0.942345918663784,0.941224573488336,0.906125928324354
"cg06398054",0.0944988727602455,0.898493522344975,0.910791908949884,0.914479706201886,0.909263887008042,0.605234504017087
"cg21090866",0.247935625805618,0.902849728707072,0.910585701024362,0.914410119005076,0.864047689318378,0.887207591882911
"cg25757820",0.226148978867139,0.873118706812336,0.881330522646565,0.889669600049709,0.885930122222863,0.708617164828646
"cg18497973",0.206394655319834,0.798876120507785,0.768091314225704,0.830164118422938,0.812629571977727,0.689060192579177
"cg22523050",0.16844409926967,0.794902611945899,0.718117632572548,0.680482941851251,0.663019929836735,0.663378460020212
"cg14861383",0.281558111055886,0.872376419807851,0.865787275518055,0.821987775188802,0.863280792127926,0.763084569172725
"cg16023546",0.127438528134419,0.878375562158304,0.861926788401305,0.882113266857823,0.888284606019222,0.632969017184868
"cg08220243",0.455756391105296,0.921354327352603,0.911515302145527,0.908018370304884,0.913186598432123,0.914515003616994
"cg20062681",0.232788652737275,0.866654129952762,0.749210335404347,0.876210803693813,0.882332086617287,0.693568232963926
"cg14181409",0.207886003207788,0.807388234185676,0.767977474179385,0.773130064807443,0.769903592128102,0.675538655787972
"cg04185197",0.116915375147186,0.900123296232881,0.898317889120394,0.892688886094359,0.895211570513591,0.585564159889538
"cg24353653",0.101560365007606,0.558569549949482,0.740535186513844,0.577323747106596,0.763314632027009,0.662443669304089
"cg09373725",0.417297113765078,0.889418784422966,0.890830423003869,0.885727499868163,0.88582753342271,0.860842617972005
"cg14249520",0.312110345366252,0.864273085558191,0.888326842781445,0.883408172833148,0.892234432553035,0.804903913810978
"cg11028738",0.278188435007196,0.861003836907706,0.889674018715313,0.877407713033016,0.870176700660679,0.741806583766859
"cg16107565",0.293745701046138,0.911748257817853,0.912085621868369,0.906556960840775,0.909757004568758,0.778138133937085
"cg17226676",0.264854967550875,0.84456618871368,0.850307586056423,0.744994676201557,0.849891794810111,0.721561903985913
"cg09561072",0.424888299011845,0.867902695514269,0.871849249738497,0.870080227595979,0.873499983413063,0.858253141471538
"cg21762695",0.107903614939911,0.789036271876231,0.782274663121085,0.769897308776825,0.737479453308251,0.570338496931552
"cg04453169",0.242517666253218,0.826841861910122,0.823145158921231,0.834395903079072,0.823408555523617,0.687980219640694
"cg13079571",0.232962728093874,0.868769668030554,0.8802734680049,0.870785711464187,0.878133793640591,0.670785426745288
"cg06494464",0.378478556474168,0.841487735453612,0.832602361977135,0.840130921161394,0.841172379258344,0.813313746471871
"cg05843639",0.45523837879258,0.894412147938538,0.903021281201186,0.917808065050008,0.91874989796636,0.894525957281222
"cg20240944",0.456570762371156,0.902146168338857,0.901989360109097,0.894710280709188,0.898071542003152,0.892932149248655
