"","Neu","NK","Bcell","CD4T","CD8T","Mono"
"cg13699412",-2.31359824272608,-0.156002207720894,-0.133686565890627,-0.129336821156579,-0.127088436007539,-0.166491096227855
"cg14054880",-1.90253919307737,-0.135832028707646,-0.13536518067862,-0.137682531608583,-0.108548450220653,-0.1281583832656
"cg01899759",-2.08497742308888,-0.132263688716939,-0.12606027782315,-0.122257691441576,-0.111284314908347,-0.176202266439291
"cg27557168",-2.08822274415755,-0.124351575066145,-0.102316009595875,-0.116249591496524,-0.114690804577847,-0.163173013789341
"cg16649792",-2.25935119893485,-0.155630745394655,-0.147412662642906,-0.137941077324419,-0.121693033503567,-0.252463473147672
"cg25576801",-1.9824877483845,-0.217936336081832,-0.163186340847743,-0.179602498897239,-0.194466200025524,-0.175238652253576
"cg04206190",-1.66212455449861,-0.143940203094984,-0.135812041733714,-0.1429692046403,-0.143331306926121,-0.193763914335744
"cg02735685",-1.63637396441988,-0.156417412289554,-0.156805075827156,-0.155247564893349,-0.150404806743974,-0.21176432511785
"cg19260752",-1.38492696794128,-0.150082069307567,-0.132244612578228,-0.125385158464368,-0.123638579285408,-0.130234426753461
"cg11386978",-1.49935427915198,-0.139403422988989,-0.107906081334627,-0.147487763251186,-0.154538593767709,-0.133292760131972
"cg01530292",-1.99589201694582,-0.201846304836316,-0.177677092456477,-0.15450831701102,-0.151661185982708,-0.31659284085974
"cg03865101",-2.52297723973991,-0.350953920077822,-0.211322296794393,-0.154663902561433,-0.158932551706197,-0.215782234943613
"cg04449166",-0.21326619113514,-1.98860022737597,-2.87639283744631,-1.71470755943439,-1.87089639980179,-1.93337982148968
"cg20246452",-2.22762114786183,-0.134030194650258,-0.108200539141281,-0.107925627754058,-0.114169373637482,-0.304870485968526
"cg04100356",-2.42993126045408,-0.26566299526486,-0.159823620630018,-0.239475414727135,-0.149537499751939,-0.366316095543348
"cg25074794",-1.66710784306011,-0.0914086488289619,-0.0652893741321651,-0.0763772210828688,-0.0730210210388014,-0.193388234059396
"cg27305893",-1.76864645777047,-0.170352818834511,-0.142529714998511,-0.147893827989017,-0.158415800333836,-0.266194754931797
"cg26390455",-1.91254912252292,-0.272922697183707,-0.135319210199099,-0.136425569239201,-0.142324563348408,-0.304054789263768
"cg09694051",-1.65250053854189,-0.145159120487712,-0.197497949361854,-0.150715738951659,-0.143538941094925,-0.25146599579366
"cg20203469",-1.153888204787,-0.1367859490242,-0.11905675130943,-0.125755769619529,-0.124526249406008,-0.142118487572825
"cg11091478",-1.59807283362722,-0.138116029494371,-0.121512683631746,-0.113487224951815,-0.105774310793904,-0.264310803968083
"cg01044849",-1.25604401608631,-0.149638439301864,-0.13422762521456,-0.123366360395529,-0.12880115140339,-0.163282022845883
"cg24392753",-1.66295997026854,-0.123674207005472,-0.10596255883961,-0.116570078891363,-0.10944725302417,-0.23877718029301
"cg14863672",-1.96940552770001,-0.311633457414106,-0.151782332697806,-0.179551033139916,-0.191215786460148,-0.246717718279794
"cg14836884",-1.26774695238624,-0.177919120101534,-0.160724510960875,-0.147583463139509,-0.143895371497696,-0.18829147568006
"cg17540105",-1.43773585469941,-0.211460415895881,-0.178255667083103,-0.184770061661204,-0.18428769003879,-0.249752975132905
"cg19423170",-1.54678225345539,-0.110503080228406,-0.107630251694132,-0.100960057653119,-0.110128794892183,-0.180014427126043
"cg16275316",-2.14806122287394,-0.188690858103931,-0.176351249487609,-0.187217515595808,-0.172073446036935,-0.419582321609169
"cg18279004",-1.69533747993411,-0.208540552643671,-0.202298480694879,-0.186713114428327,-0.195249351642335,-0.293084251050549
"cg19983500",-1.32452265584273,-0.206899699153765,-0.110737694954778,-0.10521041727238,-0.110251862932438,-0.18524315231086
"cg13571698",-1.36561001127826,-0.175131668360548,-0.218554352026624,-0.199534212349406,-0.195238001193833,-0.192740792476755
"cg06230847",-0.913051115531258,-0.090214361705714,-0.0797755122346328,-0.0803311799218637,-0.0811392010820301,-0.0760852010688342
"cg22528063",-1.57566484265174,-0.16903737045593,-0.155548839491165,-0.138383469527961,-0.158141386455733,-0.284776653571971
"cg10650269",-1.91099842847096,-0.27487802960064,-0.262810973420016,-0.270569651823718,-0.295017907822673,-0.410946517403948
"cg09529591",-1.33858649425244,-0.219823805401096,-0.200774013982082,-0.224386471340466,-0.204665034453392,-0.222417818317805
"cg04036920",-1.20357006723949,-0.129192699454325,-0.114485467144374,-0.118281895578366,-0.110443277511929,-0.207008954977025
"cg11155735",-1.02871282165295,-0.148524771715622,-0.106160312456254,-0.112946829062622,-0.116905497094271,-0.124433695283183
"cg05568737",-2.12881140091095,-0.15167901198095,-0.122777157553879,-0.129616556215402,-0.158075690594436,-0.459996826847328
"cg13785123",-1.30074856484184,-0.0370018998205083,-0.0321590190765442,-0.0298998364799021,-0.0366436449695821,-0.237565807669248
"cg16509045",-2.18897072252395,-0.380882267610909,-0.323546711352571,-0.476874951626463,-0.337615526158342,-0.507145171657921
"cg15595478",-1.97144449153409,-0.387732771106644,-0.333442169429948,-0.316961731929918,-0.346876226231994,-0.404275728989062
"cg26065310",-1.47868375183493,-0.129137448761041,-0.118908377897594,-0.110863915509733,-0.112535634519196,-0.321679004468298
"cg04855678",-2.60974639625744,-0.191021721044447,-0.0876943639061839,-0.0687206445508874,-0.0670563988307922,-0.528732229308433
"cg13996193",-1.78724750483549,-0.113735797593113,-0.126071929492735,-0.112325914110794,-0.117579622081159,-0.339141054136197
"cg07319315",-1.25993198798657,-0.135158431371247,-0.23974281072748,-0.191990604436872,-0.147013110442873,-0.141006928267323
"cg23588378",-2.11823342919032,-0.144461305125343,-0.435662715133129,-0.135735565295444,-0.142765939146855,-0.469188636445665
"cg15891546",-2.4080657301166,-0.433137609649356,-0.285366872885313,-0.158818854273166,-0.16381450734656,-0.554534076058348
"cg26306976",-1.20152586618155,-0.184576325715446,-0.193855737609597,-0.140239434893124,-0.192769364365803,-0.144625337446769
"cg12688686",-1.91610846913343,-0.295939715361944,-0.207884887650651,-0.388214213519947,-0.366674540273587,-0.462041567140936
"cg27420834",-0.832616117206278,-0.102358563498737,-0.100859112110064,-0.104217928118244,-0.101769249495621,-0.0992342317400553
"cg26262442",-0.847654514535524,-0.0698468868456851,-0.0640792374145644,-0.0618762006722963,-0.0630534542095112,-0.101213536507166
"cg06398054",-2.42366767243647,-0.109604805101153,-0.0959505624085276,-0.0918959899997709,-0.0976392315985943,-0.507270573955721
"cg21090866",-1.41356634849177,-0.105700277926879,-0.0963502721458486,-0.0920971359099189,-0.153268322148182,-0.123216246430256
"cg25757820",-1.50339340896796,-0.13830108536874,-0.128820846619952,-0.119510645501828,-0.123608600443763,-0.34779475322497
"cg18497973",-1.59279328284183,-0.227163461774556,-0.266500446769604,-0.188668141707665,-0.210081039703104,-0.375721380596581
"cg22523050",-1.78799487749987,-0.232598201270079,-0.335063976083828,-0.3879932938793,-0.415731564371582,-0.413694799870964
"cg14861383",-1.27116344194549,-0.139192491801583,-0.14677689818845,-0.198607147796177,-0.149596911594743,-0.273734023961749
"cg16023546",-2.08752350050637,-0.132232904734098,-0.151088627390702,-0.128025040370938,-0.120972014787953,-0.463036517292233
"cg08220243",-0.830447602684934,-0.0844337340297883,-0.0951691701462362,-0.0990208919375548,-0.0933136571250147,-0.0918408869230577
"cg20062681",-1.46228497523337,-0.145823926894049,-0.292313525593984,-0.134761127162316,-0.127748824127941,-0.369130429561611
"cg14181409",-1.61904292171639,-0.21752439988627,-0.267040368910209,-0.260301105785596,-0.264721777370754,-0.395054980189301
"cg04185197",-2.18062097110779,-0.107856062295089,-0.109734730093032,-0.116090958860029,-0.113260376917466,-0.538702184160298
"cg24353653",-2.33604579170226,-0.585526575006755,-0.302931883198107,-0.552341447273636,-0.272846055141855,-0.415487659943822
"cg09373725",-0.894939423293912,-0.120249151604732,-0.118283027465079,-0.123831027981401,-0.123893466134421,-0.15238228508491
"cg14249520",-1.21001348397469,-0.149474827741927,-0.120938990246962,-0.12649008981417,-0.11664030250072,-0.221355206512902
"cg11028738",-1.28405549357131,-0.152164929129114,-0.119402273394138,-0.133298871281517,-0.141605774334241,-0.301636988119288
"cg16107565",-1.23147527099589,-0.094923165384354,-0.0946228638420769,-0.100630906847716,-0.0970669229463326,-0.255201032613298
"cg17226676",-1.34718924291811,-0.1714243176744,-0.164802079295474,-0.296968670170326,-0.165229865675898,-0.329246950634696
"cg09561072",-0.859325358170873,-0.144162897564476,-0.139673450928645,-0.141680261337461,-0.13777972677084,-0.155391641489499
"cg21762695",-2.25629732848454,-0.239875547555832,-0.248324853504185,-0.264635790707283,-0.307992900167411,-0.565668000904072
"cg04453169",-1.42752487874449,-0.192818340664958,-0.197144167866908,-0.183664516248444,-0.197251097939926,-0.37686993642527
"cg13079571",-1.46564308791106,-0.143432060461833,-0.130084319500735,-0.140868557486055,-0.132538167935532,-0.402073108643584
"cg06494464",-0.977296531523234,-0.175136359569856,-0.185929108446219,-0.176721644047313,-0.175451711979599,-0.209266171170378
"cg05843639",-0.805623540931778,-0.114177498506469,-0.104696974552856,-0.0882519291117134,-0.0872787691377055,-0.114030955255703
"cg20240944",-0.788220111534039,-0.105575727325994,-0.10571701846703,-0.11390399294206,-0.110024347532903,-0.115767090769671
"cg25043129",-1.11981028111107,-0.184161534007976,-0.167599518960717,-0.167017866194381,-0.179177444175606,-0.269436307337954
"cg17266935",-1.59932370921853,-0.150385699733506,-0.144572073117195,-0.146131250941596,-0.133906959362184,-0.422864809238574
"cg17500342",-1.22333280262147,-0.129367147608366,-0.125621836016888,-0.114672255971845,-0.123091981184832,-0.283111980179442
"cg22730522",-2.24050763868455,-0.197674006505924,-0.183504305971928,-0.227834567888075,-0.210809066363261,-0.600140487186463
"cg20401041",-0.978848339687218,-0.218272707712241,-0.20849757758833,-0.189963581682366,-0.183144035090642,-0.224781384551227
"cg15410418",-1.37014759826816,-0.235219166000205,-0.207877962810169,-0.300390605995262,-0.345053571941389,-0.229057173333823
"cg11788604",-1.59746081019444,-0.123449268900415,-0.164043325389763,-0.151222484667036,-0.17756886342636,-0.446584746443771
"cg13610659",-0.673007766958882,-0.0371843206352677,-0.0386830743127041,-0.0366763187411077,-0.0338674706844978,-0.0743731058058734
"cg08730245",-1.08761911556191,-0.159710154372896,-0.150501935294229,-0.147366550509801,-0.140152434541975,-0.278724884694387
"cg21603432",-1.85623087044553,-0.197304376705508,-0.165964831109712,-0.151737422284312,-0.175448268222358,-0.5250585317026
"cg16291589",-1.04276115033016,-0.135340676196388,-0.137015403165606,-0.132782116603979,-0.13619318919063,-0.254861599329431
"cg12916774",-2.00621792913354,-0.338346593052038,-0.396317373883196,-0.484790564391177,-0.459795340548773,-0.594969815228522
