"","MIX_1","MIX_2","MIX_3","MIX_4","MIX_5","MIX_6","MIX_7","MIX_8","MIX_9","MIX_10","MIX_11","MIX_12"
"cg13699412",0.66420041536864,0.288728958282508,0.319259962049336,0.39750110570544,0.752313909529396,0.343361172660644,0.686595049042503,0.369732198463774,0.308688275738905,0.707410972088547,0.8284963887065,0.666704468133364
"cg14054880",0.738743809095002,0.374168053244592,0.361302352266208,0.428039077449894,0.799922350200595,0.364127681134943,0.699279966116052,0.395031808542866,0.331221429144278,0.725804262250577,0.804623862002875,0.661995996568487
"cg01899759",0.738539898132428,0.351868732907931,0.334348355663825,0.414564763891523,0.769042270778027,0.368733313556808,0.690211757737302,0.391938250428816,0.317425083240844,0.817862518815855,0.822775404049786,0.686038143216985
"cg27557168",0.699780327068587,0.329252577319588,0.362044817927171,0.439526627218935,0.815311004784689,0.399432482056418,0.73214920071048,0.424591947769314,0.317497490799599,0.765468792218319,0.827366571491324,0.704763811048839
"cg16649792",0.681362970200293,0.350186219739292,0.335232939165123,0.398307586342615,0.743484224965706,0.323132159343477,0.6696232402962,0.381221940269373,0.325252862994232,0.731897463002114,0.799323181049069,0.639221700373814
"cg25576801",0.545002866424613,0.265883053117096,0.27378640776699,0.346807567248005,0.674159686141448,0.263682802237898,0.576824765691565,0.320725141416207,0.292763344892274,0.617371937639198,0.746834228702993,0.574203187250996
"cg04206190",0.667566615799977,0.351550822122571,0.351523358158429,0.407520218464447,0.754691385937147,0.356281328320802,0.654944345862236,0.414460827855747,0.350131628431741,0.728737690241719,0.793352601156069,0.656516789982925
"cg02735685",0.609229657726,0.330033231791747,0.333463834785162,0.403391715318321,0.736710173740168,0.330065750149432,0.611259541984733,0.392883717783941,0.326661609383206,0.669950238651366,0.7487118844497,0.610234158749158
"cg19260752",0.730419880034276,0.386525317338541,0.408681065212833,0.462431889876685,0.774863580355571,0.365479660372576,0.719088669950739,0.424270805458924,0.376387820160492,0.742936729009152,0.817479970866715,0.681536074476338
"cg11386978",0.74207824393698,0.397465261872042,0.444719267870393,0.488585184034788,0.810748051086416,0.406824146981627,0.731694281133084,0.469401947148818,0.367708998085514,0.78358843537415,0.828916418378548,0.724020442930153
"cg01530292",0.551929794666439,0.291068479227544,0.295797269563666,0.376632849280552,0.684873204468877,0.30783796190039,0.598320975549972,0.373173970783533,0.286729857819905,0.622326895902025,0.744604316546763,0.554449933894649
"cg03865101",0.5991431396243,0.296642583935402,0.317246447819696,0.377000340483487,0.708867521367521,0.309647779479326,0.640265020328264,0.336434240846633,0.28122866894198,0.640322204062573,0.715853419557123,0.600054303556883
"cg04449166",0.282767688388528,0.552114862242918,0.630554986688511,0.585806840439958,0.233100429329068,0.561381074168798,0.349685689633921,0.608172547868828,0.633372579801151,0.292653640432267,0.200352056329013,0.35365152386429
"cg20246452",0.733649116414647,0.368042813455657,0.39490302210194,0.447845616369988,0.788215488215488,0.396811205483534,0.703559239395417,0.45650535202774,0.352172241445598,0.744982769106021,0.793645540294556,0.700938757264193
"cg04100356",0.629993229519296,0.257112750263435,0.29584959205392,0.35418111218971,0.687351706515788,0.2936996684036,0.634122287968442,0.343107281823235,0.263094587206124,0.65955077037312,0.736385936222404,0.603431576034316
"cg25074794",0.669484898836868,0.448661272833431,0.398228918847476,0.488958061666597,0.757996307105843,0.432931233747472,0.65962093119077,0.469028373474101,0.436532621025285,0.721934677851151,0.827941250693989,0.672266200294551
"cg27305893",0.574686967256481,0.309567097439929,0.330263494499872,0.361077221996295,0.669904153354633,0.323850926433968,0.587270143404677,0.360094244949605,0.323410913358107,0.630136049770971,0.739748596534049,0.579372287819154
"cg26390455",0.651613816534541,0.278792280556132,0.312062256809339,0.369021010281627,0.739296852849447,0.311481380315032,0.621024644646692,0.337658159982844,0.286809548701864,0.695384615384615,0.784102200141945,0.621732817037754
"cg09694051",0.714487432928551,0.401273885350318,0.361497326203209,0.491791044776119,0.807983302895904,0.398783666377063,0.71888085268367,0.439327653695602,0.397558849171752,0.799527505906176,0.809290322580645,0.706024096385542
"cg20203469",0.713015728288124,0.351273702355871,0.384749346933698,0.443023586246093,0.761467889908257,0.371022815458637,0.667302904564315,0.446942692624075,0.362944747560132,0.713069986028198,0.825142857142857,0.668832409707625
"cg11091478",0.622310756972112,0.308770452358037,0.328867028493894,0.39885438649382,0.715361574668378,0.328859434172421,0.611275448059857,0.382232579288394,0.328661417322835,0.745680450397981,0.782788615826366,0.602847896440129
"cg01044849",0.730302512391044,0.401302083333333,0.404680365296804,0.478279883381924,0.780677581455665,0.393703415285349,0.721219366407651,0.431563302256452,0.351575833428149,0.734701423553337,0.839609037013299,0.695516162669447
"cg24392753",0.685731857318573,0.362120365194708,0.354954954954955,0.451407167442802,0.758076540755467,0.362323517547398,0.663239286008061,0.395385913907906,0.336500974658869,0.730785443304763,0.793526664494406,0.675092478421702
"cg14863672",0.640167364016736,0.315165876777251,0.334975369458128,0.36095435388242,0.700563853991493,0.323939221991047,0.597524885660479,0.365501627281732,0.336004370788563,0.65045937854857,0.749125956723046,0.603013910355487
"cg14836884",0.645309477756286,0.382868836484116,0.368791332489095,0.442825783276791,0.766270661157025,0.350109042107029,0.637348007455401,0.429218231210383,0.352424978453342,0.736701754385965,0.796907216494845,0.643508556204529
"cg17540105",0.650843468026677,0.345934748834801,0.347892720306513,0.402064143824215,0.731013147718484,0.333729107681067,0.615257851880574,0.376257958513042,0.316392625809666,0.681864406779661,0.764586982886403,0.622580978992031
"cg19423170",0.685934489402698,0.384708527936343,0.365191420038012,0.455360867751356,0.805445151033386,0.402182508303021,0.714352211016292,0.459568981396206,0.391471084522166,0.763925152306353,0.815393300715092,0.687542201215395
"cg16275316",0.560077669902913,0.271091889181397,0.274291497975709,0.346805421103582,0.664037043388784,0.298974878900529,0.584180989126622,0.335669449692242,0.287240537240537,0.615167337156552,0.730838372283053,0.559918442515128
"cg18279004",0.695259593679458,0.329400596691077,0.385719612229679,0.424234354194407,0.719136285401346,0.379499404052443,0.668229643183898,0.415909390227841,0.370217971530249,0.700539411867061,0.784997881056646,0.671243523316062
"cg19983500",0.756217995610827,0.398650720637841,0.396527777777778,0.485059912027908,0.779648998404538,0.395331512292029,0.762320505456634,0.468525311812179,0.399383588031334,0.748972803756603,0.832657885849375,0.714501738998941
"cg13571698",0.757894736842105,0.345951629863302,0.368794326241135,0.512852404643449,0.824535679374389,0.402102496714849,0.715834428383706,0.409935379644588,0.372458410351201,0.745923198316675,0.821442648797793,0.680441752760955
"cg06230847",0.754304454769063,0.447977102189216,0.467663273960984,0.508478229630694,0.835925196850394,0.437539902106831,0.72681755829904,0.506326571600723,0.478461885430762,0.767128150514732,0.868910193699863,0.736899819848046
"cg22528063",0.617091728899535,0.367792990830298,0.344827586206897,0.406913638508731,0.702155504234026,0.36234372484842,0.619988821706214,0.40750475338329,0.35916245627672,0.664508094645081,0.76726437462952,0.621589133309292
"cg10650269",0.545420947594057,0.285605750686693,0.295703091363128,0.333133469240916,0.607619509827712,0.279679341806867,0.543748693288731,0.337039651723732,0.295249732702001,0.581124978628825,0.681672271476613,0.532676414494596
"cg09529591",0.668953282081609,0.399679294447785,0.437416062315337,0.451772464962902,0.714841788046208,0.424187562234091,0.671252585199173,0.460126061934777,0.412575757575758,0.695895765472313,0.763416632527653,0.642564402810304
"cg04036920",0.66372109914054,0.380514873101064,0.415707996023292,0.466281839838739,0.757635957288304,0.410639077092108,0.687099281134642,0.41147763217352,0.408678852727003,0.72866103081538,0.796158831153529,0.659300184162063
"cg11155735",0.72965431716013,0.413020558777016,0.435130149620824,0.500483225182935,0.826063639613872,0.406717696789672,0.753078128497873,0.513053493729204,0.438620849242161,0.779481865284974,0.857056329497274,0.729894394800975
"cg05568737",0.67962356792144,0.308208193614229,0.323875152006486,0.412852243924258,0.70941196639808,0.320892651019623,0.670731707317073,0.393549280177187,0.31644986761828,0.716453674121406,0.779310344827586,0.59955328653478
"cg13785123",0.766349363332921,0.447256184247939,0.397075926233594,0.527263530601922,0.920422535211268,0.455422910845822,0.752310536044362,0.494243110607777,0.422422100867331,0.820915032679739,0.881322140608604,0.721936903888481
"cg16509045",0.545010315995222,0.283624229979466,0.278230945704818,0.320559550783174,0.60821554770318,0.275660802134578,0.564018482635266,0.321389296187683,0.283185174024409,0.611546499477534,0.637466172196051,0.531737395719985
"cg15595478",0.559710494571773,0.276545166402536,0.27456864216054,0.345542501727713,0.637184115523466,0.283981292019877,0.561075394506137,0.309730250481696,0.286953094205755,0.59163791353765,0.693230174081238,0.558917707332693
"cg26065310",0.694275067750677,0.334725848563969,0.337653778558875,0.386654478976234,0.781521361583883,0.362149813634724,0.655096490091957,0.40017825311943,0.357054963084495,0.734363365599404,0.782589016294508,0.636216653193209
"cg04855678",0.677023797152655,0.378030891362499,0.308235294117647,0.411449644393713,0.724553985768794,0.427179291968024,0.659113757636687,0.404607206142942,0.332885003362475,0.759165751920966,0.765532341939604,0.626735970112889
"cg13996193",0.702457264957265,0.325167037861915,0.30688202247191,0.420244600572469,0.777335984095427,0.320899826956355,0.664442700156986,0.407649253731343,0.322728138693084,0.781354388095961,0.788120339418874,0.667116509221772
"cg07319315",0.696001146624624,0.355503110920403,0.371643394199785,0.462907326091981,0.724509369927697,0.369219033088586,0.700615105374609,0.449967298888162,0.370952906548933,0.731026603558022,0.792852020081281,0.669463967271583
"cg23588378",0.603941985868353,0.337237917117827,0.324163449163449,0.407511831638304,0.685483870967742,0.322838944494995,0.640489107035219,0.380770391230011,0.335533647663952,0.671111715879712,0.708155446086481,0.592939261369417
"cg15891546",0.590690208667737,0.342143374366401,0.313642756680731,0.39328626285148,0.679845294370434,0.326747557178138,0.603262884686689,0.423188756966319,0.321734641197728,0.693312434691745,0.700012992074834,0.587502829975096
"cg26306976",0.737772602159644,0.492009605034363,0.531590669323643,0.555492316448492,0.780189084658358,0.504306436990027,0.705281090289608,0.545405819295559,0.507155276180286,0.724816007359706,0.783049040511727,0.724467909585877
"cg12688686",0.616599268245715,0.303103866828507,0.331983805668016,0.345360824742268,0.646972245584525,0.329347454731807,0.626264106697933,0.403581020590868,0.3111279333838,0.685635497618451,0.72109459949257,0.598952879581152
"cg27420834",0.785288270377734,0.508735743751517,0.568857877341168,0.585569392733342,0.844879975691279,0.508011935020444,0.784750613246116,0.57349427888847,0.508142308889119,0.777269528501056,0.885205558772438,0.77254746835443
"cg26262442",0.782689253573319,0.55532585154558,0.542232527326929,0.598299436975755,0.879470719245382,0.582847247539191,0.820526408761703,0.572331084698576,0.592253013289379,0.8374279648165,0.904562737642586,0.821003500583431
"cg06398054",0.635195412064571,0.33336376917458,0.295142071494042,0.378356890459364,0.717228464419476,0.337324310255075,0.654150530392322,0.3755823986195,0.327261641643167,0.706076941925999,0.75550547987299,0.60830969158964
"cg21090866",0.772581934452438,0.458178821590441,0.35031185031185,0.507965913301223,0.797360578969774,0.438543247344461,0.709325396825397,0.456901936289819,0.386908240794857,0.787555555555556,0.840326773115485,0.667544189544942
"cg25757820",0.719541067200874,0.388952164009112,0.37947159223755,0.419584569732938,0.77233921457029,0.368661191500456,0.687076602397082,0.430423239106669,0.36055469953775,0.733207190160833,0.803434816549571,0.678933481460908
"cg18497973",0.62381158167675,0.296815074203769,0.328535353535354,0.376568265682657,0.661682242990654,0.307579102281089,0.612357669122572,0.386590321388992,0.292195376325395,0.665567951318458,0.777599633531837,0.630865484880083
"cg22523050",0.55765595463138,0.328368314150305,0.315872598052119,0.373003416120395,0.591797907197971,0.30114566284779,0.52570467648943,0.361184031863854,0.309841222288796,0.592938860868496,0.646359732347948,0.563564285070727
"cg14861383",0.664019433803607,0.345581988105353,0.358141046473838,0.410646659521258,0.699362340585146,0.342231533418936,0.646863545196763,0.403406609404571,0.345669338798144,0.688092161929371,0.772336083754769,0.642398622201346
"cg16023546",0.615466289152362,0.32486919052016,0.2822339217508,0.385535055350553,0.675052832846936,0.317760128145231,0.59867786806225,0.365419542317472,0.305702347302446,0.650916710319539,0.736007051564566,0.594682871249525
"cg08220243",0.742079610073111,0.469992663242847,0.487203008898266,0.515323283916781,0.805585585585586,0.480141325536062,0.755545096193446,0.52168815943728,0.480726227238846,0.76240074249768,0.862112533692722,0.717709328824524
"cg20062681",0.6673028748658,0.32392390637328,0.344520344520345,0.410396294390118,0.763121226196006,0.342837803536678,0.677603800140746,0.382314573238912,0.346588598845247,0.71868611148971,0.750777254036706,0.661713624083366
"cg14181409",0.643766486982452,0.407125523935583,0.345,0.445134818288394,0.682880755608028,0.435672802441185,0.635379686552948,0.443156356551388,0.362696899769238,0.654749055585537,0.712373893349804,0.625277161862528
"cg04185197",0.664148228098579,0.319107929515418,0.3160751565762,0.412152050284346,0.738285909013461,0.315401451445686,0.625352473724686,0.376360808709176,0.301567610240217,0.720700152207002,0.749392097264438,0.63935372186959
"cg24353653",0.528156621205455,0.215389784946237,0.218452526238711,0.293879056047198,0.554768846314036,0.235084064871299,0.543237971391417,0.310522696011004,0.211122404530274,0.570872842207634,0.613949716139497,0.491242198510167
"cg09373725",0.809998252053837,0.534857780256553,0.6038720904938,0.589285714285714,0.809624108878808,0.537981859410431,0.773412794940404,0.604872737171635,0.56414784912325,0.827552986512524,0.855806703039751,0.776076278532216
"cg14249520",0.679461472357491,0.513406816760475,0.477423133235725,0.519006335445148,0.742320278686794,0.504053271569195,0.682853412635091,0.536306439674315,0.499983984112239,0.69158935546875,0.798473133013605,0.615934344598644
"cg11028738",0.683085691023814,0.35493925831202,0.39344262295082,0.441555435537381,0.744443251369054,0.375111773472429,0.677040110650069,0.40444514008452,0.365100483159443,0.724196661746338,0.773996759126871,0.628786023348845
"cg16107565",0.660925101606348,0.370860927152318,0.35906219890804,0.431914132379249,0.766910814304179,0.388178810095374,0.658521390004153,0.409537960800962,0.343379613951913,0.694350712963971,0.780381471389646,0.650411506807169
"cg17226676",0.670960047704234,0.357135713571357,0.368079183420971,0.440664375715922,0.716142353941455,0.376434720229555,0.648859816480422,0.398739164696612,0.360927152317881,0.646054025423729,0.764504339881224,0.622650743931088
"cg09561072",0.724764281752635,0.50207645618145,0.524552547039927,0.556736372985944,0.784795655901686,0.497889871382637,0.752114710129977,0.515976838944885,0.487076493188963,0.782303839732888,0.81903520208605,0.729442667884879
"cg21762695",0.545420136260409,0.266163235750491,0.234643143544507,0.342728946157386,0.585392051557465,0.269045673295197,0.513215859030837,0.348799014576062,0.244688922610015,0.625494227423691,0.627031757939485,0.539653264478052
"cg04453169",0.637261820748059,0.387603795966785,0.346173600410889,0.442846872753415,0.724287260916637,0.381251570746419,0.659011482775836,0.458333333333333,0.383013698630137,0.781767955801105,0.732398480864739,0.639598278335725
"cg13079571",0.654665118079752,0.325848724040156,0.337716180999763,0.406542056074766,0.719602738405168,0.344842046407604,0.637982392268485,0.388044735827227,0.335907097411823,0.694332437275986,0.745081043598856,0.604682373993439
"cg06494464",0.697587053893946,0.438404380132968,0.455455801104972,0.50592692166687,0.777923139820115,0.440556252137239,0.693011736836438,0.482005899705015,0.454049686931933,0.744840853445261,0.800837159060221,0.698206332009149
"cg05843639",0.790344538695151,0.512883315371804,0.512482269503546,0.579325421611493,0.836498229803669,0.51183970856102,0.828212828212828,0.611300580698682,0.503400309119011,0.817963935174618,0.863848367569713,0.786160249739854
"cg20240944",0.7911434236616,0.535622147251439,0.593508997429306,0.614528412419449,0.844134727061556,0.550664136622391,0.809190809190809,0.594101123595506,0.52448729721457,0.821756894790603,0.895720182489681,0.827325706885387
"cg25043129",0.596354166666667,0.366496049296825,0.377315418732064,0.409851531853617,0.660299058033068,0.37850569197889,0.608406982368201,0.402702825268695,0.37279311019769,0.616819012797075,0.743572576325656,0.564895976343859
"cg17266935",0.66707541385653,0.349778081256402,0.31112277019937,0.431647760046145,0.751503006012024,0.353271595567026,0.685510887772194,0.415722252203634,0.353804434519062,0.691018478727976,0.749377275340103,0.657157499145883
"cg17500342",0.660407267406414,0.291971462115055,0.361053647772721,0.411582712945954,0.71791584100711,0.338857284194905,0.636734360981975,0.389163463298554,0.335373497529681,0.72734795200662,0.770833333333333,0.651887303594004
"cg22730522",0.6434812403632,0.281266490765172,0.25204041974349,0.364306180925092,0.655797101449275,0.304736475504992,0.596020360944007,0.38238114810248,0.277399756986634,0.658153613318199,0.687021838920573,0.570786822760686
"cg20401041",0.66881686595343,0.442410373760488,0.449285362247413,0.493685096828515,0.739263024142313,0.452395885599599,0.669947952025345,0.492177314211213,0.452182661673467,0.690830010873505,0.776961151942403,0.662278897573015
"cg15410418",0.599982604157606,0.332145977552255,0.330142123963679,0.378889661030036,0.662398745753854,0.330627536684358,0.594222371514948,0.41158348736907,0.338194020744356,0.646653260557311,0.722749014013594,0.618099748409057
"cg11788604",0.691366266132621,0.360370799536501,0.327240861291938,0.410425291682349,0.721217669947356,0.362847501205206,0.642592592592593,0.388998387385773,0.344209759650401,0.734356552538371,0.750867720786733,0.611072783718524
"cg13610659",0.86380633733517,0.618828385458009,0.605222337125129,0.670774504203052,0.923300290377491,0.643944994824782,0.847270363951473,0.652830493418396,0.621405646164931,0.891098688454096,0.93232952578747,0.828302049995675
"cg08730245",0.651334152059841,0.367480205697494,0.364546186586909,0.453746337379657,0.74923941025041,0.385073967763303,0.652622006668688,0.408043273753528,0.36123670212766,0.692119809744183,0.778143056385734,0.642952763434691
"cg21603432",0.556996182703699,0.297494669509595,0.306484858094181,0.37403400309119,0.621446943217042,0.325745231477044,0.574546782958126,0.377938517179023,0.319588539137345,0.598502495840266,0.690070068653125,0.546017602955558
