"","MIX_1","MIX_2","MIX_3","MIX_4","MIX_5","MIX_6","MIX_7","MIX_8","MIX_9","MIX_10","MIX_11","MIX_12"
"cg13699412",0.376718786806215,-0.69912141071014,-0.629353819987779,-0.419491831115725,0.634844594891599,-0.532331722637103,0.418477961613932,-0.499881602091374,-0.668953330151839,0.495410079684674,0.849102507882507,0.367407228490129
"cg14054880",0.59670869354326,-0.442581951447613,-0.509734688453884,-0.331646342825262,0.775159149664312,-0.470728390046766,0.456097677062143,-0.425784386105862,-0.604201672384502,0.55008497840701,0.778346972475461,0.353432160262903
"cg01899759",0.59610691850463,-0.50953789923273,-0.586424278372839,-0.370406535015461,0.684147460677303,-0.457065895640249,0.429204050808565,-0.434844764626475,-0.643847089619621,0.823732368837013,0.832146140529074,0.424790909086632
"cg27557168",0.481721001829001,-0.577445176665917,-0.507622222985103,-0.298601272669099,0.82051354871785,-0.365997573313999,0.553578113494897,-0.339208979845587,-0.643639018011536,0.667989613181498,0.845753854304093,0.480369982241206
"cg16649792",0.427368329952109,-0.51458981391741,-0.58390745880933,-0.417171910003665,0.608821199861835,-0.592340589168233,0.368144592308055,-0.466230574367006,-0.621353046883969,0.5681972971412,0.762636338927336,0.285836478997295
"cg25576801",0.0249470688222043,-0.767718534311445,-0.758735309549967,-0.565316795400509,0.40450361115673,-0.768695633281171,0.0929317400353346,-0.643412924491827,-0.714715485745369,0.227764919617687,0.607064875030405,0.0928570493874439
"cg04206190",0.386653002058963,-0.510492458278634,-0.537557911073091,-0.390670864880074,0.641851641098807,-0.49400440115999,0.324611329260436,-0.368880890917097,-0.549860997977076,0.55880472766949,0.744940198830209,0.337169497356433
"cg02735685",0.214490972340713,-0.575101183248765,-0.588940919762243,-0.402546911456285,0.588856295144972,-0.571772263925057,0.195055110504427,-0.432075690375887,-0.61730484899445,0.38405633118728,0.612630039510803,0.199799456927119
"cg19260752",0.572143399608872,-0.405478025545393,-0.374932635891358,-0.232712025032449,0.70130438600507,-0.466717777153693,0.514844438853176,-0.340149537864492,-0.474410753153007,0.601012021727544,0.816451060794446,0.411428458672037
"cg11386978",0.606549163278247,-0.372629743898311,-0.272396636351307,-0.157479494367084,0.80706532803271,-0.344070382551646,0.55222895646421,-0.207969953158858,-0.49935036576349,0.721851083625489,0.850347429490578,0.537524993301566
"cg01530292",0.0453895818567911,-0.692096764224369,-0.696109941228868,-0.479521429373107,0.436079158117921,-0.63771044674226,0.156683146008226,-0.489801377686616,-0.73205341812551,0.242493760342047,0.600455661414957,0.0342280315499243
"cg03865101",0.184723986085166,-0.675359955293268,-0.635082676559402,-0.478464304674898,0.506796699907634,-0.632341667759456,0.28107678769759,-0.597404289188941,-0.747861729245069,0.295985639309208,0.515241174687589,0.169584944872603
"cg04449166",-0.748952393967203,0.0917212054172999,0.256343694023141,0.122188191188059,-0.895413638295465,0.114418910505751,-0.580695636392385,0.198459835357429,0.264065078805142,-0.737475113931524,-1.01264799310328,-0.561755493342841
"cg20246452",0.581673411252258,-0.460973598784281,-0.414133964423345,-0.274670879708734,0.740655958548044,-0.373773525286401,0.468788737016372,-0.245741357191442,-0.543997057270164,0.607093969769069,0.7458084381181,0.4690169588924
"cg04100356",0.27576771322942,-0.79405224901951,-0.69596107312666,-0.5441060659763,0.443383953366675,-0.679651343914285,0.262859258792108,-0.577860361160893,-0.799972138887293,0.35314343469783,0.576097288828429,0.179608922429594
"cg25074794",0.39231417316059,-0.218908581773857,-0.404671113281433,-0.156406875074848,0.651592110137631,-0.266624356851583,0.338480699340559,-0.209064071573153,-0.301577617372149,0.538582461278622,0.847457140059165,0.383914832994729
"cg27305893",0.112549769036621,-0.636552806093548,-0.598046537296465,-0.524268725817187,0.39196144048522,-0.590208384412421,0.123909643559493,-0.528109132909641,-0.626646105086581,0.26570682842995,0.586063843005802,0.108199296254191
"cg26390455",0.339573648045638,-0.728957283057825,-0.64983275197533,-0.501417635160592,0.596479916554147,-0.626902336335028,0.224015519258812,-0.593819688465803,-0.731824417034408,0.459661182723131,0.717523030777158,0.233928267495582
"cg09694051",0.52512410819121,-0.36119396958346,-0.509179948038424,-0.148257519686837,0.798916890361971,-0.367922268942761,0.514228114252311,-0.296051208587227,-0.413573319507675,0.769230701920517,0.792177846799537,0.484110596010137
"cg20203469",0.520780863935649,-0.511324538196285,-0.443023230690964,-0.288541925052857,0.661823774699835,-0.450274145004887,0.361263162222883,-0.273748367458167,-0.513040998139154,0.512231758204019,0.83916301030708,0.373723105792156
"cg11091478",0.253095463755927,-0.63894481292161,-0.602019766458508,-0.415598985426949,0.525936377341583,-0.575350770366466,0.19510228322275,-0.463270626073665,-0.611558166451723,0.609167859412648,0.713629711787302,0.177876521152617
