"","Neu","NK","Bcell","CD4T","CD8T","Mono"
"cg13699412",0.109222061507108,0.855699341085049,0.874950928615882,0.878729602215009,0.880681740061097,0.84687821383283
"cg14054880",0.151742584385848,0.87313934703607,0.873529904016262,0.871432630918573,0.897192877450168,0.879821034770876
"cg01899759",0.129302325855721,0.876226434263286,0.881668423388334,0.884993336324634,0.89478512453324,0.838777130745159
"cg27557168",0.127788260254945,0.883166003125804,0.902884381983335,0.89031250595883,0.891664031660897,0.849829508732057
"cg16649792",0.10904856412235,0.855912639922751,0.862983787592138,0.871275608860355,0.885539240627145,0.777356099873905
"cg25576801",0.146926266649933,0.804516017066305,0.849683205536857,0.835655913718339,0.823489213434293,0.839389948583905
"cg04206190",0.193768469870579,0.866064701318439,0.873060652336975,0.866797838146994,0.866580605678189,0.824190927729758
"cg02735685",0.196840316511578,0.855313408377869,0.854882865762131,0.85625465324235,0.860423749870169,0.809238236250795
"cg19260752",0.250808862191844,0.86072464487017,0.876145326139742,0.882197212880915,0.8837421151091,0.877949075141099
"cg11386978",0.227705855976062,0.869942384773194,0.897858960668099,0.86319654412173,0.857133515471519,0.875275234307045
"cg01530292",0.138958616725069,0.817320154913703,0.837303862816234,0.85698958365921,0.859312787198376,0.728716313201306
"cg03865101",0.0860379039655851,0.704687275762134,0.810013756819921,0.856854676938847,0.853061737255403,0.806404386477355
"cg04449166",0.808014962610956,0.138141757000355,0.0567761165393194,0.180783255636951,0.159796165588988,0.150703655272003
"cg20246452",0.117210140029156,0.874590439634374,0.897461399968593,0.897732221353755,0.892254159996582,0.738429888335601
"cg04100356",0.0923492749226972,0.76714143005507,0.852554360222942,0.787217092654181,0.861259260254926,0.693648895353953
"cg25074794",0.195693619151581,0.913241839265068,0.93681211725422,0.926513611630632,0.929602224347819,0.824977250275603
"cg27305893",0.175367008353095,0.843561951960475,0.867204192143175,0.862537979139178,0.85360536504457,0.766587281598644
"cg26390455",0.152954508087993,0.761371672294455,0.873526105867077,0.872524214774385,0.867433642239061,0.738109161140469
"cg09694051",0.195109327423621,0.864967677330093,0.820954561163565,0.860176702855331,0.866376876000207,0.778161632624613
"cg20203469",0.317665418267705,0.87226413173891,0.887794099843302,0.881857605086673,0.883036420664101,0.867592786380655
"cg11091478",0.204984539026581,0.871249317830659,0.885686678892803,0.892829757448516,0.899663774588733,0.767995928423153
"cg01044849",0.286020021860531,0.861098370060799,0.874449362723664,0.883982692851866,0.879278216805148,0.849583742574295
"cg24392753",0.192476630697902,0.883991641336142,0.899496344093075,0.890035253091073,0.896351092003207,0.788504463850504
"cg14863672",0.149060103174438,0.733432602276201,0.859451993334095,0.835698147580979,0.826122874645723,0.781484519722119
"cg14836884",0.28384798795936,0.837165900082242,0.851594751176717,0.862928887147176,0.86604858849326,0.828504690056113
"cg17540105",0.241057622151163,0.809544640494933,0.836777972704404,0.831368472635123,0.831810248776417,0.779099007130937
"cg19423170",0.236454714315147,0.895490473816324,0.897993412881728,0.904026273624682,0.895775921634317,0.836506087758583
"cg16275316",0.121166844055049,0.828312803469291,0.838352009336362,0.829320276715783,0.841974583711262,0.657487850051356
"cg18279004",0.186929812143802,0.811812660197656,0.816941418956606,0.82972819612442,0.822671164570292,0.74635779074299
"cg19983500",0.268166040963745,0.813768432065238,0.89525477240595,0.90019894108793,0.895708721400403,0.831263190853987
"cg13571698",0.255902754920827,0.839533163556801,0.803961377227835,0.819242025992686,0.822783703279293,0.825883046550219
"cg06230847",0.401779681529664,0.913777562182816,0.923331696836832,0.922839036054363,0.922113273341406,0.926765692683758
"cg22528063",0.209500288061969,0.844733979371835,0.856059048155264,0.870905051747851,0.853887357802559,0.75254493239543
"cg10650269",0.150876232056645,0.760040003608734,0.768929935888247,0.762981716114927,0.744745167215544,0.663062878321503
"cg09529591",0.281490688153622,0.802873911412781,0.818163338330175,0.799114333071104,0.814942723664474,0.800653596145741
"cg04036920",0.300763718812075,0.878904707631517,0.89184297137164,0.888525605891684,0.895500740382491,0.813499248562202
"cg11155735",0.364094493679408,0.8620697340665,0.899379325761657,0.893294413394816,0.889700600639673,0.883181758044255
"cg05568737",0.123954141768542,0.85928219832059,0.884553867556982,0.878445831177461,0.853846792225548,0.631690293312195
"cg13785123",0.273017389671079,0.963695395498202,0.968357468661415,0.970545665087635,0.964084656707285,0.789070146043523
"cg16509045",0.114540960632465,0.683434212058875,0.725481476291467,0.620809032948782,0.713617574912091,0.60231578291239
"cg15595478",0.146622219030258,0.679362981003266,0.717089601500525,0.728637664802484,0.70776313530329,0.668174638645046
"cg26065310",0.230629605217885,0.87907566574716,0.887932121463532,0.89518980047826,0.893660600269747,0.725272619622007
"cg04855678",0.0778926276247686,0.826650103036864,0.916079578568857,0.933630500490388,0.935160618212786,0.590287312865761
"cg13996193",0.173935276152564,0.892512628441975,0.881728092226739,0.893934906524817,0.889146112079482,0.715374324666203
"cg07319315",0.285362833117826,0.873625658619741,0.787081473461628,0.825487844421788,0.863464856258084,0.868662922692995
"cg23588378",0.12644696446752,0.865645985463815,0.6480608135966,0.873148108156836,0.867078913705955,0.626178609400241
"cg15891546",0.0943114892626823,0.648913301005727,0.751801465747487,0.853178342146711,0.84894925586498,0.574384838133413
"cg26306976",0.327110812867734,0.831466548040871,0.824068673091124,0.86921337153163,0.824899520506532,0.865385244841893
"cg12688686",0.148892521004751,0.743917194001137,0.81248511288027,0.678964347644062,0.696234261582338,0.630096242913648
