"","MIX_1","MIX_2","MIX_3","MIX_4","MIX_5","MIX_6","MIX_7","MIX_8","MIX_9","MIX_10","MIX_11","MIX_12"
"cg13699412",0.675764298212554,0.333293455813779,0.358334735891956,0.407654832623469,0.763974457521632,0.391461899271987,0.687078676522926,0.379697445327934,0.343042301117256,0.71274989178325,0.829690418464842,0.660879201341864
"cg14054880",0.748514763802744,0.419360418854112,0.394720420213296,0.435173089082217,0.806440120061009,0.411948298698514,0.700268292618069,0.405652138640197,0.363173641870959,0.731975474152305,0.806245530037947,0.655390935238313
"cg01899759",0.748338872821969,0.398563269753407,0.371417095535998,0.423372535810806,0.779084544645149,0.41655994988801,0.690793754813064,0.402439671105252,0.35030479259918,0.82220403842273,0.824217124283706,0.680976067207192
"cg27557168",0.711481849572487,0.375474702879691,0.395476895324102,0.4458423900362,0.819845186796468,0.444362663809503,0.733319207487874,0.43337878874323,0.350422749074372,0.771687068565571,0.828583726549302,0.700534628622204
"cg16649792",0.692870451713922,0.397303757420632,0.372219741942002,0.408255086657953,0.755827300257436,0.369037373650094,0.66975425532303,0.3913307953278,0.357573430717565,0.738246816581067,0.800921871103071,0.631844426097171
"cg25576801",0.545699687163864,0.305785511372164,0.317808688696487,0.357486575875283,0.688345962101768,0.303971371273697,0.568521433919398,0.330940829698546,0.329228079247718,0.612564813887352,0.749356388175631,0.560868016078656
"cg04206190",0.679008193267161,0.398411256917124,0.386315321679691,0.416780282307645,0.766085285605942,0.403945775254072,0.65459252591642,0.423987220966984,0.380639218744135,0.73495494495711,0.794975774963584,0.649475592925105
"cg02735685",0.616673411487797,0.37666340373652,0.37063468765398,0.412719147522058,0.749479192009157,0.37707954145316,0.607602082491545,0.403299678230912,0.35877810428486,0.673585570606422,0.751051729960669,0.60036771373756
"cg19260752",0.740426188408547,0.432484477289913,0.434111533289478,0.466404107215926,0.784362736777813,0.413264687451144,0.720154436412123,0.433019305856039,0.404190045538661,0.749004662095358,0.819121389111685,0.676297868045912
"cg11386978",0.751821856061377,0.442507314014264,0.461157303825291,0.489779109307391,0.816006751432054,0.450787869654363,0.732899373231638,0.473816719902301,0.396779247385954,0.789316956602817,0.830055110698687,0.72075446671928
"cg01530292",0.55406180950217,0.33569902082523,0.337176233120746,0.387169109101855,0.698951785753383,0.353879278010487,0.59427731264591,0.383086206931411,0.322363808283965,0.618681674529764,0.747136130627711,0.539408970827897
"cg03865101",0.605879277705171,0.341649015135618,0.356659131759481,0.387523779354851,0.722907852134695,0.355508088609257,0.639437920774355,0.347191784321638,0.316554517459341,0.639437920774355,0.718563883323606,0.589370980357502
"cg04449166",0.26546150439306,0.58305112981747,0.615031916628806,0.577153870254664,0.213477614095031,0.589766266900913,0.310343029318031,0.599206559671594,0.61873766098477,0.260283925160586,0.18245156723868,0.328597690303723
"cg20246452",0.743403680394115,0.413832830778626,0.423372535810806,0.453631392314014,0.796181377486543,0.442106030626144,0.704369503153982,0.462027575327743,0.382523597377553,0.75125930435139,0.795300704489327,0.696526556381894
"cg04100356",0.639263673976873,0.296027251441827,0.337254216377953,0.365160478839046,0.701338216235388,0.337825271595231,0.63281382227634,0.353553774434366,0.297464566261938,0.66201030303304,0.738896600149628,0.593307403843781
"cg25074794",0.680708289768101,0.488013308813077,0.426263807431087,0.490025539910453,0.76914392599718,0.473916000496154,0.659110268256473,0.47352052233067,0.45320610972812,0.72794798968121,0.829201993786595,0.666127978300077
"cg27305893",0.57895848401153,0.355147313824091,0.368074715138905,0.372090271271144,0.683982383801563,0.369605090971801,0.581268107864508,0.370010511106901,0.355937802806596,0.62765779749303,0.742130380086015,0.566869920796579
"cg26390455",0.662287543369939,0.321087332805837,0.352225879580699,0.379933773569961,0.752019843421993,0.357174507778283,0.618547148531189,0.348452202208894,0.322520561279072,0.70019448973555,0.78609079071128,0.612844009692055
"cg09694051",0.725020971838881,0.446466623176076,0.394929990968204,0.492816517341368,0.813575639898285,0.443727170321654,0.719969328645896,0.446039435408952,0.421789710302113,0.804635808272939,0.810981552743533,0.702094741139835
"cg20203469",0.723575180269752,0.39811746106804,0.41535156992306,0.449347172188783,0.77229375470809,0.418692244086691,0.667359867547978,0.45325541834008,0.392370160239049,0.718549716448716,0.826600308695657,0.662755336874974
"cg11091478",0.630718200467862,0.354320240762963,0.366711295722981,0.408943302791266,0.728919458303423,0.375274535062061,0.607621566195457,0.392562831071353,0.36084323136716,0.751916382500488,0.784644746398878,0.592514219343785
"cg01044849",0.740266959173979,0.446503384418613,0.431026825575903,0.480506982709099,0.789510432767191,0.439783566846865,0.722263694971867,0.439143237736064,0.381959120157141,0.740935138005665,0.840583413594581,0.691030080365834
