"","MIX_1","MIX_2","MIX_3","MIX_4","MIX_5","MIX_6","MIX_7","MIX_8","MIX_9","MIX_10","MIX_11","MIX_12"
"cg13699412",-0.409171344672869,-1.2422668915503,-1.14174958001652,-0.922557563242714,-0.28460160924833,-1.06897240429446,-0.376010608816902,-0.99497632334056,-1.17542332766107,-0.34614349188639,-0.188142800958453,-0.405408407515627
"cg14054880",-0.302804090540596,-0.983050242264511,-1.0180401302873,-0.848540785115132,-0.223240618274311,-1.01025070050289,-0.357704093165386,-0.928788989366594,-1.10496815704151,-0.320474911734082,-0.217380362930227,-0.412495770543042
"cg01899759",-0.303080152562902,-1.0444970908104,-1.09557184850284,-0.880526070793985,-0.26260934248522,-0.99768162372335,-0.370756833202101,-0.936650976016234,-1.14751344678848,-0.201061026411987,-0.19507201463776,-0.376822050444885
"cg27557168",-0.356988811663501,-1.11093011053946,-1.0159872683911,-0.822056978438568,-0.204185637569596,-0.917710534175551,-0.311770959683331,-0.856626694166677,-1.14728536367401,-0.26726683255564,-0.189507427642742,-0.349892552090416
"cg16649792",-0.383660118935652,-1.04929020959252,-1.09292964800306,-0.920530742170466,-0.296407730569013,-1.12969387738934,-0.401040052678884,-0.964373553062524,-1.12315235918635,-0.312114852698611,-0.223989933082891,-0.447503935835663
"cg25576801",-0.606964224838021,-1.32469871681054,-1.29540701028557,-1.05898521410618,-0.394288273073138,-1.33300840489829,-0.550216757574668,-1.13717077992016,-1.22839069294113,-0.482283620426507,-0.291912034536582,-0.554771960542561
"cg04206190",-0.40411609473604,-1.04540099177457,-1.0454791171415,-0.897664731668372,-0.281446373646546,-1.03203461211959,-0.423205015106141,-0.880776813442597,-1.04944611396595,-0.31644143306666,-0.231487514108139,-0.42080701057329
"cg02735685",-0.495559976076513,-1.10856192719252,-1.09822086093046,-0.907847190811436,-0.305560715506591,-1.10846340149077,-0.492233627705929,-0.934241594396458,-1.11883047758545,-0.400551840024931,-0.289401036424571,-0.493912528670893
"cg19260752",-0.314135732062094,-0.950557908989894,-0.894820218790663,-0.771255998005723,-0.25506829047072,-1.0065446501162,-0.329770604872186,-0.857383335507083,-0.97713523056043,-0.29714439400187,-0.20152887697972,-0.383406095312036
"cg11386978",-0.298300591324384,-0.922647740223487,-0.810312054609206,-0.71624144391996,-0.209797937637974,-0.899374258207455,-0.312392500985641,-0.756295847408462,-1.00046341970559,-0.243871351348694,-0.187635951151037,-0.32293565090368
"cg01530292",-0.59433442436885,-1.23419671568896,-1.21808095943206,-0.976484440645487,-0.378521560818723,-1.17818173217253,-0.513627920618085,-0.985710558466147,-1.24921476843927,-0.474289768186622,-0.294902320425267,-0.589778766809813
"cg03865101",-0.512254745099754,-1.21522728596499,-1.14807636923615,-0.975509188395311,-0.34408662270533,-1.17231982269006,-0.445873094078875,-1.08935256995549,-1.26858717210164,-0.445783785465986,-0.334279854268689,-0.510735121933267
"cg04449166",-1.26312960753932,-0.593999170578065,-0.46115491613716,-0.534765167565595,-1.45628589111858,-0.57735532747014,-1.05072055758621,-0.497296641441503,-0.456696436308578,-1.22876548377925,-1.60767917826904,-1.03944324654776
"cg20246452",-0.309724407698436,-0.999556006668174,-0.929115057890404,-0.803306712274544,-0.237983764305835,-0.924294664344308,-0.35160319929851,-0.784154854968217,-1.04363490077452,-0.294394189586801,-0.231118340214153,-0.355334760579777
"cg04100356",-0.462046206449074,-1.35824057331673,-1.21790408875537,-1.03794688032428,-0.374909172321317,-1.22519756980918,-0.455513459913509,-1.06971210572524,-1.33524166429034,-0.416196326659507,-0.306000927819701,-0.505122623440214
"cg25074794",-0.401246669987496,-0.80148707943441,-0.920728266062672,-0.715478556648153,-0.277076765243661,-0.83717637710808,-0.416089955642553,-0.757092014553195,-0.828892173332699,-0.325820618072693,-0.188813080382309,-0.397100885507612
"cg27305893",-0.553929791198206,-1.17258041733293,-1.10786447494631,-1.01866343217795,-0.400620631525002,-1.12747197266881,-0.532270354788857,-1.02138949026672,-1.12883158671244,-0.461819530893425,-0.301444884920179,-0.545810023891263
