"","MIX_1","MIX_2","MIX_3","MIX_4","MIX_5","MIX_6","MIX_7","MIX_8","MIX_9","MIX_10","MIX_11","MIX_12"
"cg13699412",0.66420041536864,0.292511625790602,0.322430126658747,0.39750110570544,0.755231609746896,0.347741303226775,0.686595049042503,0.37369946327538,0.308688275738905,0.707410972088547,0.835542302819125,0.67491025142614
"cg14054880",0.738743809095002,0.379070067043257,0.364889986378231,0.428039077449894,0.803024690308361,0.368772722313463,0.699279966116052,0.399270540792881,0.331221429144278,0.725804262250577,0.81146675317527,0.670143828101303
"cg01899759",0.738539898132428,0.356478601038244,0.337668343918965,0.414564763891523,0.772024848625244,0.373437107072382,0.690211757737302,0.396143788479625,0.317425083240844,0.817862518815855,0.829772664279207,0.694481884938978
"cg27557168",0.699780327068587,0.333566148890626,0.365639824521315,0.439526627218935,0.81847302673571,0.404527893428076,0.73214920071048,0.429147863377085,0.317497490799599,0.765468792218319,0.834402877119024,0.713438027860749
"cg16649792",0.681362970200293,0.35477404509311,0.338561711093894,0.398307586342615,0.746367681003687,0.327254235922704,0.6696232402962,0.385312491201445,0.325252862994232,0.731897463002114,0.806120992794145,0.647089226391741
"cg25576801",0.545002866424613,0.269366414093291,0.276505032347628,0.346807567248005,0.676774280711572,0.267046505515399,0.576824765691565,0.324166555426198,0.292763344892274,0.617371937639198,0.753185650270473,0.581270466901596
"cg04206190",0.667566615799977,0.356156525271285,0.355013889518083,0.407520218464447,0.757618306725135,0.360826276499501,0.654944345862236,0.418908035496773,0.350131628431741,0.728737690241719,0.800099636345324,0.664597183566835
"cg02735685",0.609229657726,0.334357030796585,0.336775039988498,0.403391715318321,0.739567357964637,0.334276275963577,0.611259541984733,0.397099400797467,0.326661609383206,0.669950238651366,0.755079274464725,0.617744906770039
"cg19260752",0.730419880034276,0.391589224913484,0.412739157061112,0.462431889876685,0.77786873499687,0.370141948246573,0.719088669950739,0.428823275176418,0.376387820160492,0.742936729009152,0.824432196298271,0.689924404839595
"cg11386978",0.74207824393698,0.402672494775256,0.449135209271489,0.488585184034788,0.813892376526938,0.412013851069094,0.731694281133084,0.474438678694408,0.367708998085514,0.78358843537415,0.835965904616573,0.732931669925314
"cg01530292",0.551929794666439,0.294881797037969,0.298734456016712,0.376632849280552,0.687529349293965,0.311764936100435,0.598320975549972,0.377178166168864,0.286729857819905,0.622326895902025,0.750936773916275,0.56127409095628
"cg03865101",0.5991431396243,0.300528928659686,0.320396618780325,0.377000340483487,0.711616723389541,0.313597840848008,0.640265020328264,0.340044215121733,0.28122866894198,0.640322204062573,0.721941366083122,0.607439758153687
"cg04449166",0.282767688388528,0.55934817532161,0.636816226244691,0.585806840439958,0.234004463090424,0.568542403398777,0.349685689633921,0.614698302343472,0.633372579801151,0.292653640432267,0.202055942308994,0.358004258703634
"cg20246452",0.733649116414647,0.372864579863597,0.398824301728678,0.447845616369988,0.791272425582021,0.401873178206465,0.703559239395417,0.461403701770972,0.352172241445598,0.744982769106021,0.800395066772896,0.709565895401907
"cg04100356",0.629993229519296,0.260481210608124,0.298787298055066,0.35418111218971,0.69001746371926,0.297446285660493,0.634122287968442,0.346788858519663,0.263094587206124,0.65955077037312,0.742648500708012,0.610858598023263
"cg25074794",0.669484898836868,0.45453922989386,0.402183223724513,0.488958061666597,0.760936045374792,0.43845397621505,0.65962093119077,0.474061096535441,0.436532621025285,0.721934677851151,0.834982443657783,0.680540437259124
"cg27305893",0.574686967256481,0.31362276753283,0.333542921194417,0.361077221996295,0.672502243685263,0.327982172057204,0.587270143404677,0.363958093521047,0.323410913358107,0.630136049770971,0.746039758628613,0.586503188640915
"cg26390455",0.651613816534541,0.282444766636642,0.31516095016293,0.369021010281627,0.74216406899557,0.315454832246497,0.621024644646692,0.341281267037132,0.286809548701864,0.695384615384615,0.790770565668976,0.629385090280954
"cg09694051",0.714487432928551,0.406531015417874,0.365086896353409,0.491791044776119,0.811116905809175,0.403870801048805,0.71888085268367,0.444041684955292,0.397558849171752,0.799527505906176,0.816172899478758,0.714713824760452
"cg20203469",0.713015728288124,0.355875774930279,0.388569803327021,0.443023586246093,0.764421092022244,0.375755815297057,0.667302904564315,0.451738434040753,0.362944747560132,0.713069986028198,0.832160251281595,0.67706438365646
