"","Neu","NK","Bcell","CD4T","CD8T","Mono"
"cg13699412",0.109214324036904,0.855805549577715,0.874885422435177,0.878511642703637,0.88061260876893,0.846940336219545
"cg14054880",0.150958663312371,0.873218262664227,0.873425263020991,0.871283075164625,0.897197892298192,0.879734803902349
"cg01899759",0.128540505287674,0.876332089246171,0.881666997844128,0.884794800383179,0.894794595467658,0.838992172338537
"cg27557168",0.127029818917319,0.883251210888078,0.902607623750638,0.890061643832408,0.89163704025647,0.849923395086227
"cg16649792",0.108834256122726,0.855930251555996,0.862965922737937,0.871051602536117,0.885506527724682,0.777867421325054
"cg25576801",0.146067032752441,0.804743274295843,0.849573184735785,0.835364143813358,0.823052992630014,0.839528228079924
"cg04206190",0.191932201386276,0.866096663897349,0.872912870921909,0.866575141075627,0.866375930772265,0.824480306843647
"cg02735685",0.1950623080652,0.855440239571938,0.85492314766313,0.856062853446249,0.860307643704545,0.80966486184747
"cg19260752",0.249201901663293,0.860893088228095,0.876007055470478,0.882090712023597,0.883595961833354,0.877839179762017
"cg11386978",0.225459063125378,0.870121825260477,0.897652097746241,0.863007566285526,0.856918905572677,0.875229902242392
"cg01530292",0.138209744080349,0.81754542420715,0.837220689593902,0.856806510683021,0.859140856682223,0.729622688458884
"cg03865101",0.0861870151054661,0.706187696392059,0.809662529062927,0.856692030976964,0.852861732443443,0.806832474833043
"cg04449166",0.808612691836675,0.139622972204829,0.0561827790241012,0.183911811461848,0.161605547883611,0.149791416868214
"cg20246452",0.117140459066026,0.87474839965922,0.897326453698669,0.897575657009214,0.892229356420835,0.739293086227851
"cg04100356",0.0924349788136584,0.767491236287554,0.852430597384579,0.786825960036139,0.861020554822584,0.694842054978819
"cg25074794",0.193748654120965,0.913164028704577,0.936915149562193,0.926117870520102,0.929592003639625,0.825259013818127
"cg27305893",0.173834336923216,0.843645468060412,0.86721162282322,0.862331919409054,0.853374398592834,0.767056060577441
"cg26390455",0.152121271630676,0.761856598865713,0.873505528800987,0.872405564217415,0.867262163090989,0.738964386994778
